iter	Passed	Remaining
0	0	96
1	1	76
2	2	66
3	2	59
4	2	56
5	3	54
6	3	52
7	4	51
8	4	50
9	5	50
10	6	49
11	6	49
12	7	48
13	7	47
14	8	46
15	8	45
16	9	44
17	9	44
18	10	43
19	10	42
20	11	41
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	34
37	20	33
38	21	33
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	45	11
80	45	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
