iter	Passed	Remaining
0	140	140351
1	142	71015
2	143	47821
3	145	36157
4	146	29173
5	148	24532
6	150	21284
7	151	18844
8	154	17045
9	156	15505
10	158	14216
11	159	13140
12	161	12241
13	163	11520
14	165	10848
15	167	10294
16	169	9804
17	171	9339
18	172	8928
19	175	8602
20	177	8265
21	178	7947
22	181	7704
23	182	7439
24	184	7204
25	186	6977
26	187	6761
27	189	6577
28	190	6390
29	192	6214
30	194	6094
31	196	5932
32	196	5771
33	197	5620
34	198	5475
35	199	5338
36	200	5207
37	200	5084
38	201	4967
39	202	4857
40	203	4752
41	203	4652
42	204	4556
43	205	4464
44	206	4377
45	207	4293
46	208	4227
47	209	4157
48	210	4083
49	211	4016
50	212	3948
51	212	3883
52	213	3819
53	214	3759
54	215	3702
55	216	3646
56	217	3590
57	217	3537
58	218	3486
59	219	3438
60	220	3394
61	221	3348
62	224	3334
63	225	3291
64	225	3247
65	226	3205
66	227	3164
67	228	3125
68	228	3086
69	229	3049
70	230	3013
71	231	2977
72	231	2943
73	232	2910
74	233	2877
75	234	2847
76	234	2815
77	235	2785
78	236	2758
79	237	2733
80	238	2709
81	239	2683
82	240	2653
83	240	2627
84	241	2602
85	243	2586
86	244	2563
87	245	2539
88	245	2516
89	246	2493
90	247	2470
91	248	2448
92	248	2426
93	249	2405
94	250	2384
95	251	2364
96	252	2349
97	253	2332
98	254	2314
99	255	2297
100	256	2280
101	256	2262
102	257	2244
103	258	2226
104	259	2210
105	260	2193
106	260	2176
107	261	2159
108	262	2144
109	263	2128
110	263	2112
111	264	2097
112	265	2081
113	265	2067
114	267	2058
115	271	2067
116	271	2052
117	272	2038
118	273	2024
119	274	2011
120	274	1997
121	275	1983
122	276	1970
123	277	1957
124	277	1944
125	278	1932
126	279	1918
127	279	1906
128	280	1895
129	281	1883
130	283	1878
131	284	1869
132	285	1860
133	286	1849
134	286	1838
135	287	1827
136	288	1817
137	289	1806
138	289	1796
139	290	1785
140	291	1775
141	291	1764
142	292	1753
143	293	1744
144	294	1734
145	294	1724
146	295	1715
147	296	1706
148	297	1699
149	298	1692
150	299	1685
151	300	1676
152	301	1667
153	302	1660
154	303	1653
155	304	1645
156	304	1637
157	305	1628
158	306	1620
159	307	1612
160	307	1602
161	308	1594
162	309	1586
163	309	1579
164	310	1571
165	311	1563
166	312	1558
167	313	1553
168	314	1547
169	315	1540
